Company Name,Ticker Symbol,Industry Classification
Pennon Group,PNN,"Gas, Water & Multiutilities"
Personal Assets Trust,PNL,Investment Trusts
Petershill Partners,PHLL,Investment Trusts
Pets at Home,PETS,Retailers
Playtech,PTEC,Software & Computer Services
Plus500,PLUS,Financial Services
Polar Capital Global Financials Trust,PCFT,Investment Trusts
Pollen Street Group,POLN,Financial Services
PPHE Hotel Group,PPH,Travel and Leisure
Premier Foods,PFD,Food & Drug Retailers
Primary Health Properties,PHP,Real Estate Investment Trusts
PRS REIT,PRSR,Real Estate Investment Trusts
Qinetiq,QQ,Aerospace & Defence
Quilter,QLT,Financial Services
Rank Group,RNK,Travel and Leisure
Raspberry Pi Holdings,RPI,Technology
Rathbones,RAT,Financial Services
Renishaw,RSW,Electronic & Electrical Equipment
RHI Magnesita,RHIM,Support Services
RIT Capital Partners,RCP,Investment Trusts
Rotork,ROR,Industrial Engineering
RS Group,RS1,Industrials
Ruffer Investment Company,RICA,Investment Trusts
Safestore,SAFE,Real Estate Investment Trusts
Savills,SVS,Real Estate Investment & Services
Schroder AsiaPacific Fund,SDP,Investment Trusts
Schroder Oriental Income Fund,SOI,Financial Services
Scottish American Investment Company,SAIN,Investment Trusts
SDCL Energy Efficiency Income Trust,SEIT,Energy
Senior,SNR,Aerospace & Defence
Sequoia Economic Infrastructure Income Fund,SEQI,Financial Services
Serco,SRP,Support Services
Shaftesbury Capital,SHC,Real Estate Investment Trusts
Sirius Real Estate,SRE,Real Estate
Smithson Investment Trust,SSON,Investment Trusts
Softcat,SCT,Software & Computer Services
Spectris,SXS,Electronic & Electrical Equipment
Spire Healthcare,SPI,Health Care Equipment & Services
Spirent,SPT,Telecomms
SSP Group,SSPG,Retailers
Supermarket Income REIT,SUPR,Real Estate Investment Trusts
Syncona,SYNC,Pharmaceuticals & Biotechnology
Target Healthcare REIT,THRL,Real Estate Investment Trusts
Tate & Lyle,TATE,Food Producers
TBC Bank,TBCG,Banks
Telecom Plus,TEP,Telecomms
Temple Bar Investment Trust,TMPL,Collective Investments
Templeton Emerging Markets Investment Trust,TEM,Investment Trusts
The Renewables Infrastructure Group,TRIG,Investment Trusts
TP ICAP,TCAP,Support Services
Trainline,TRN,Industrial Transportation
Travis Perkins,TPK,Support Services
Tritax Big Box REIT,BBOX,Real Estate Investment Trusts
TR Property Investment Trust,TRY,Investment Trusts
Trustpilot,TRST,Technology
Twentyfour Income Fund,TFIF,Investment Trusts
Vesuvius,VSVS,General Industrials
Victrex,VCT,Chemicals
Vietnam Enterprise Investments,VEIL,General Financial
VinaCapital Vietnam Opportunity Fund,VOF,General Financial
Vistry Group,VTY,Home Construction
Volution Group,FAN,Construction & Materials
W. A. G. Payment Solutions,WPS,Financial Services
Warehouse REIT,WHR,Real Estate
Watches of Switzerland,WOSG,Personal Goods
Wetherspoon (J D),JDW,Travel & Leisure
W H Smith,SMWH,Retailers
Wickes,WIX,Retailers
Wizz Air,WIZZ,Travel & Leisure
Workspace Group,WKP,Real Estate Investment Trusts
Worldwide Healthcare Trust,WWH,Investment Trusts
XPS Pensions,XPS,Financial Services
Zigup,ZIG,Support Services
